label,XGBoost,Decision Tree,Random Forest,LightGBM,Extra Trees,support_test
Click fraud,0.9914788564147488,0.941782355575459,0.5930423601685835,0.9971496437054632,0.5728650332814049,6319
Night crawler,0.7151628982157047,0.7263731535924279,0.5367194848419072,0.7737351141522468,0.000442526828188959,6111
Bot scraper,0.9735656941452908,0.907908611599297,0.7487760097919217,0.9942040185471407,0.2845823704192803,2598
Rapid-fire,0.5311004784688995,0.42157913540550196,0.29721669980119286,0.5707620528771384,0.0026147892479866123,1578
Session bomb,0.7703324808184143,0.5997019374068554,0.5625,0.7768924302788844,0.5554016620498615,1022
Repeated view spam,0.26095060577819196,0.19552238805970149,0.07952871870397643,0.27002700270027,0.10398613518197573,716
Item hoarding,0.421256038647343,0.3759656652360515,0.27493074792243766,0.4095427435387674,0.23614895549500453,662
Ghost buyer,0.19664268585131894,0.18947368421052632,0.000680619363620895,0.17307692307692307,0.0,471
Category scanning,0.9223880597014925,0.8586810228802153,0.8575305291723202,0.9207317073170732,0.792,345
Transaction burst,0.8092307692307692,0.6177437020810514,0.015302652459759692,0.8305343511450382,0.011577424023154847,339
Cart abandonment,0.7096774193548387,0.41784037558685444,0.36796536796536794,0.7296296296296296,0.1694036300777874,320
Sequence violation,0.23600605143721634,0.1804949053857351,0.0006878367534105239,0.25961538461538464,0.0,286
